001  00183 |Loss: 0.926 | Acc: 68.630% 
001  00184 |Loss: 0.922 | Acc: 68.754% 
001  00185 |Loss: 0.918 | Acc: 68.902% 
001  00186 |Loss: 0.914 | Acc: 69.031% 
001  00187 |Loss: 0.910 | Acc: 69.168% 
001  00188 |Loss: 0.906 | Acc: 69.311% 
001  00189 |Loss: 0.903 | Acc: 69.403% 
001  00190 |Loss: 0.900 | Acc: 69.527% 
001  00191 |Loss: 0.897 | Acc: 69.613% 
001  00192 |Loss: 0.894 | Acc: 69.735% 
001  00193 |Loss: 0.891 | Acc: 69.835% 
001  00194 |Loss: 0.888 | Acc: 69.938% 
001  00195 |Loss: 0.886 | Acc: 70.008% 
001  00196 |Loss: 0.882 | Acc: 70.125% 
001  00197 |Loss: 0.879 | Acc: 70.249% 
001  00198 |Loss: 0.876 | Acc: 70.356% 
001  00199 |Loss: 0.873 | Acc: 70.466% 
001  00200 |Loss: 0.869 | Acc: 70.586% 
001  00201 |Loss: 0.866 | Acc: 70.686% 
001  00202 |Loss: 0.864 | Acc: 70.769% 
001  00203 |Loss: 0.862 | Acc: 70.844% 
001  00204 |Loss: 0.859 | Acc: 70.967% 
001  00205 |Loss: 0.856 | Acc: 71.044% 
001  00206 |Loss: 0.854 | Acc: 71.120% 
001  00207 |Loss: 0.852 | Acc: 71.211% 
001  00208 |Loss: 0.849 | Acc: 71.304% 
001  00209 |Loss: 0.846 | Acc: 71.393% 
001  00210 |Loss: 0.844 | Acc: 71.477% 
001  00211 |Loss: 0.842 | Acc: 71.571% 
001  00212 |Loss: 0.839 | Acc: 71.658% 
001  00213 |Loss: 0.836 | Acc: 71.772% 
001  00214 |Loss: 0.833 | Acc: 71.879% 
001  00215 |Loss: 0.831 | Acc: 71.959% 
001  00216 |Loss: 0.829 | Acc: 72.045% 
001  00217 |Loss: 0.826 | Acc: 72.145% 
001  00218 |Loss: 0.823 | Acc: 72.233% 
001  00219 |Loss: 0.821 | Acc: 72.328% 
001  00220 |Loss: 0.818 | Acc: 72.415% 
001  00221 |Loss: 0.816 | Acc: 72.490% 
001  00222 |Loss: 0.813 | Acc: 72.593% 
001  00223 |Loss: 0.810 | Acc: 72.670% 
001  00224 |Loss: 0.808 | Acc: 72.754% 
001  00225 |Loss: 0.806 | Acc: 72.823% 
001  00226 |Loss: 0.803 | Acc: 72.909% 
001  00227 |Loss: 0.801 | Acc: 73.007% 
001  00228 |Loss: 0.799 | Acc: 73.085% 
001  00229 |Loss: 0.796 | Acc: 73.175% 
001  00230 |Loss: 0.793 | Acc: 73.261% 
001  00231 |Loss: 0.791 | Acc: 73.353% 
001  00232 |Loss: 0.788 | Acc: 73.444% 
001  00233 |Loss: 0.785 | Acc: 73.548% 
001  00234 |Loss: 0.783 | Acc: 73.648% 
001  00235 |Loss: 0.781 | Acc: 73.733% 
001  00236 |Loss: 0.779 | Acc: 73.802% 
001  00237 |Loss: 0.776 | Acc: 73.889% 
001  00238 |Loss: 0.774 | Acc: 73.973% 
001  00239 |Loss: 0.772 | Acc: 74.046% 
001  00240 |Loss: 0.770 | Acc: 74.105% 
001  00241 |Loss: 0.767 | Acc: 74.177% 
001  00242 |Loss: 0.765 | Acc: 74.248% 
001  00243 |Loss: 0.763 | Acc: 74.341% 
001  00244 |Loss: 0.760 | Acc: 74.414% 
001  00245 |Loss: 0.759 | Acc: 74.474% 
001  00246 |Loss: 0.757 | Acc: 74.559% 
001  00247 |Loss: 0.755 | Acc: 74.630% 
001  00248 |Loss: 0.752 | Acc: 74.720% 
001  00249 |Loss: 0.750 | Acc: 74.780% 
001  00250 |Loss: 0.748 | Acc: 74.856% 
001  00251 |Loss: 0.746 | Acc: 74.938% 
001  00252 |Loss: 0.744 | Acc: 75.016% 
001  00253 |Loss: 0.741 | Acc: 75.102% 
001  00254 |Loss: 0.739 | Acc: 75.197% 
001  00255 |Loss: 0.737 | Acc: 75.267% 
001  00256 |Loss: 0.735 | Acc: 75.345% 
001  00257 |Loss: 0.733 | Acc: 75.407% 
001  00258 |Loss: 0.731 | Acc: 75.460% 
001  00259 |Loss: 0.729 | Acc: 75.546% 
001  00260 |Loss: 0.727 | Acc: 75.610% 
001  00261 |Loss: 0.726 | Acc: 75.673% 
001  00262 |Loss: 0.724 | Acc: 75.740% 
001  00263 |Loss: 0.722 | Acc: 75.811% 
001  00264 |Loss: 0.720 | Acc: 75.885% 
001  00265 |Loss: 0.718 | Acc: 75.952% 
001  00266 |Loss: 0.716 | Acc: 76.013% 
001  00267 |Loss: 0.714 | Acc: 76.086% 
001  00268 |Loss: 0.712 | Acc: 76.146% 
001  00269 |Loss: 0.710 | Acc: 76.205% 
001  00270 |Loss: 0.709 | Acc: 76.264% 
001  00271 |Loss: 0.706 | Acc: 76.343% 
001  00272 |Loss: 0.704 | Acc: 76.419% 
001  00273 |Loss: 0.703 | Acc: 76.468% 
001  00274 |Loss: 0.701 | Acc: 76.520% 
001  00275 |Loss: 0.699 | Acc: 76.585% 
